Date,Open,High,Low,Close,Adj Close,Volume
2023-06-19,555.000000,563.099976,547.500000,549.950012,547.296448,390295
2023-06-20,549.950012,552.700012,541.099976,544.400024,541.773254,318702
2023-06-21,545.599976,551.950012,540.150024,541.700012,539.086243,344243
2023-06-22,539.950012,545.000000,532.700012,535.349976,532.766846,291544
2023-06-23,535.000000,535.900024,523.150024,528.900024,526.348022,340843
2023-06-26,529.599976,530.200012,521.450012,523.500000,520.974060,281586
2023-06-27,524.500000,531.549988,524.500000,526.950012,524.407410,248879
2023-06-28,528.700012,535.650024,527.000000,531.849976,529.283752,328678
2023-06-30,532.500000,539.750000,532.000000,537.000000,534.408936,304718
2023-07-03,542.000000,546.700012,535.000000,541.000000,538.389587,664616
2023-07-04,540.549988,546.400024,538.599976,545.099976,542.469788,255649
2023-07-05,545.700012,554.000000,542.200012,547.799988,545.156799,266169
2023-07-06,547.799988,559.799988,547.000000,555.400024,552.720154,457862
2023-07-07,572.000000,586.500000,563.349976,576.200012,573.419800,3981493
2023-07-10,579.000000,584.000000,562.599976,565.599976,562.870911,680884
2023-07-11,566.799988,568.849976,555.950012,562.400024,559.686401,412413
2023-07-12,565.500000,565.500000,555.099976,559.049988,556.352478,418738
2023-07-13,560.799988,574.400024,560.799988,565.900024,563.169495,623516
2023-07-14,569.700012,571.000000,551.000000,555.500000,552.819641,628551
2023-07-17,558.400024,564.450012,554.049988,555.049988,552.371826,406858
2023-07-18,556.599976,564.000000,555.049988,558.200012,555.506653,272418
2023-07-19,561.400024,562.250000,553.049988,556.000000,553.317261,148792
2023-07-20,556.599976,562.000000,555.000000,560.950012,558.243347,219323
2023-07-21,560.000000,564.000000,556.000000,559.650024,556.949646,221659
2023-07-24,561.849976,567.299988,555.000000,555.650024,552.968933,157291
2023-07-25,557.950012,582.900024,556.000000,579.099976,576.305725,1029939
2023-07-26,581.799988,648.700012,579.150024,637.450012,634.374268,6480801
2023-07-27,640.000000,642.799988,615.049988,621.750000,618.750000,832067
2023-07-28,621.750000,637.950012,616.950012,627.349976,627.349976,690985
2023-07-31,627.200012,629.950012,618.500000,619.799988,619.799988,322702
2023-08-01,620.599976,621.750000,602.150024,604.049988,604.049988,785538
2023-08-02,604.049988,618.000000,584.450012,598.799988,598.799988,496880
2023-08-03,595.849976,608.849976,582.000000,589.849976,589.849976,472494
2023-08-04,597.599976,600.150024,590.150024,594.900024,594.900024,230304
2023-08-07,596.900024,610.000000,591.549988,602.250000,602.250000,491735
2023-08-08,598.000000,598.000000,574.500000,581.400024,581.400024,1192934
2023-08-09,581.000000,589.200012,576.049988,580.799988,580.799988,418652
2023-08-10,589.299988,594.400024,576.349976,578.950012,578.950012,391228
2023-08-11,581.000000,583.599976,565.150024,567.799988,567.799988,383227
2023-08-14,570.549988,575.049988,554.400024,562.000000,562.000000,293987
2023-08-16,565.000000,567.200012,555.000000,560.099976,560.099976,199137
2023-08-17,562.950012,575.200012,560.950012,569.400024,569.400024,483710
2023-08-18,570.700012,590.000000,570.250000,579.900024,579.900024,530101
2023-08-21,585.000000,588.000000,577.000000,579.099976,579.099976,219865
2023-08-22,581.500000,590.200012,574.349976,577.500000,577.500000,407043
2023-08-23,578.099976,587.000000,578.099976,581.900024,581.900024,170127
2023-08-24,586.549988,588.000000,579.599976,586.000000,586.000000,190920
2023-08-25,588.099976,594.650024,583.000000,588.450012,588.450012,399236
2023-08-28,593.000000,602.450012,589.799988,601.000000,601.000000,453258
2023-08-29,606.500000,614.000000,602.150024,608.900024,608.900024,519788
2023-08-30,609.000000,614.000000,607.650024,610.000000,610.000000,222592
2023-08-31,613.500000,614.650024,602.000000,610.349976,610.349976,232820
2023-09-01,612.950012,617.799988,607.349976,610.200012,610.200012,171304
2023-09-04,614.000000,615.700012,606.950012,612.349976,612.349976,996678
2023-09-05,612.450012,631.950012,605.599976,610.000000,610.000000,584308
2023-09-06,613.950012,616.000000,595.500000,600.700012,600.700012,351810
2023-09-07,596.599976,618.000000,595.400024,615.150024,615.150024,400339
2023-09-08,624.000000,713.000000,623.049988,682.150024,682.150024,7285573
2023-09-11,687.000000,709.299988,677.849976,681.250000,681.250000,1240078
2023-09-12,685.000000,687.200012,639.799988,646.700012,646.700012,843626
2023-09-13,642.000000,702.950012,642.000000,698.750000,698.750000,1893648
2023-09-14,698.000000,718.849976,687.549988,696.450012,696.450012,1363647
2023-09-15,696.950012,708.049988,666.000000,673.450012,673.450012,784694
2023-09-18,678.049988,685.000000,667.200012,671.400024,671.400024,365457
2023-09-20,671.400024,684.299988,661.299988,669.299988,669.299988,361279
2023-09-21,669.700012,679.049988,648.349976,653.099976,653.099976,346734
2023-09-22,656.950012,666.599976,645.549988,649.099976,649.099976,320556
2023-09-25,652.000000,688.799988,647.250000,684.000000,684.000000,842444
2023-09-26,682.000000,685.799988,655.750000,663.500000,663.500000,431765
2023-09-27,660.000000,687.000000,658.000000,681.900024,681.900024,337122
2023-09-28,684.000000,691.250000,672.150024,675.549988,675.549988,310236
2023-09-29,681.000000,719.000000,680.150024,705.650024,705.650024,2082741
2023-10-03,706.950012,706.950012,694.000000,697.049988,697.049988,281331
2023-10-04,695.000000,696.549988,642.099976,664.150024,664.150024,2212692
2023-10-05,665.599976,716.650024,665.599976,707.200012,707.200012,2487118
2023-10-06,710.000000,728.900024,706.049988,712.900024,712.900024,2127692
2023-10-09,700.000000,732.849976,686.599976,713.549988,713.549988,1310189
2023-10-10,722.000000,772.849976,717.950012,762.849976,762.849976,4208852
2023-10-11,762.849976,772.650024,742.900024,755.750000,755.750000,1660890
2023-10-12,755.750000,759.450012,740.500000,745.400024,745.400024,597085
2023-10-13,742.950012,768.799988,740.549988,762.500000,762.500000,593080
2023-10-16,762.500000,786.000000,755.099976,780.900024,780.900024,1017352
2023-10-17,783.000000,783.000000,766.349976,775.150024,775.150024,670049
2023-10-18,777.500000,781.000000,755.599976,766.150024,766.150024,402612
2023-10-19,765.000000,772.000000,758.000000,765.750000,765.750000,218676
2023-10-20,762.950012,774.950012,736.150024,740.299988,740.299988,341429
2023-10-23,743.000000,747.200012,695.000000,719.700012,719.700012,388299
2023-10-25,723.700012,728.950012,696.150024,710.549988,710.549988,453870
2023-10-26,704.950012,704.950012,676.299988,699.150024,699.150024,435499
2023-10-27,709.000000,720.000000,695.400024,706.049988,706.049988,330437
2023-10-30,710.000000,715.799988,696.150024,706.000000,706.000000,247359
2023-10-31,709.950012,733.950012,709.799988,712.849976,712.849976,522069
2023-11-01,715.000000,742.950012,715.000000,722.950012,722.950012,496875
2023-11-02,730.599976,752.000000,729.000000,747.750000,747.750000,411368
2023-11-03,749.500000,776.950012,749.500000,767.549988,767.549988,641775
2023-11-06,776.000000,801.599976,769.299988,786.299988,786.299988,1010562
