Date,Open,High,Low,Close,Adj Close,Volume
2023-06-19,577.500000,578.700012,561.500000,569.150024,567.771912,435858
2023-06-20,570.900024,579.650024,562.000000,578.000000,576.600464,290412
2023-06-21,581.700012,582.599976,569.049988,575.799988,574.405762,264071
2023-06-22,575.900024,580.000000,569.200012,575.599976,574.206238,289357
2023-06-23,577.700012,580.000000,569.400024,576.700012,575.303650,251634
2023-06-26,576.750000,581.849976,557.000000,578.349976,576.949585,598790
2023-06-27,578.349976,589.400024,573.200012,585.549988,584.132202,366224
2023-06-28,585.549988,585.700012,573.549988,577.799988,576.400940,360660
2023-06-30,577.799988,583.599976,570.099976,574.849976,573.458069,381206
2023-07-03,574.900024,578.799988,569.700012,575.000000,573.607727,296897
2023-07-04,573.000000,582.799988,571.450012,575.400024,574.006775,596209
2023-07-05,574.250000,580.200012,565.000000,577.099976,575.702637,292765
2023-07-06,581.000000,598.599976,580.700012,592.000000,590.566589,670265
2023-07-07,595.099976,597.000000,577.849976,581.950012,580.540955,264781
2023-07-10,581.049988,593.000000,573.099976,590.299988,588.870667,311121
2023-07-11,590.000000,590.299988,577.200012,583.099976,581.688110,448184
2023-07-12,594.000000,594.000000,581.900024,585.150024,583.733215,393295
2023-07-13,598.000000,616.200012,521.200012,567.549988,566.175781,15727382
2023-07-14,564.900024,582.900024,561.150024,563.950012,562.584534,2233846
2023-07-17,568.700012,568.700012,556.000000,561.950012,560.589355,942180
2023-07-18,564.000000,567.549988,556.000000,558.799988,557.446960,384678
2023-07-19,560.000000,562.500000,550.000000,552.799988,551.461487,271882
2023-07-20,553.950012,556.950012,545.299988,550.099976,548.768005,273793
2023-07-21,546.000000,553.099976,537.099976,542.400024,541.086731,517149
2023-07-24,545.299988,556.799988,542.400024,548.099976,546.772827,346117
2023-07-25,551.700012,562.000000,550.250000,555.349976,554.005310,372925
2023-07-26,558.299988,558.299988,548.400024,555.099976,553.755920,268170
2023-07-27,559.900024,560.450012,541.250000,545.849976,544.528320,232273
2023-07-28,550.000000,597.950012,549.349976,590.299988,588.870667,4236522
2023-07-31,594.000000,599.099976,583.000000,588.599976,587.174805,1035005
2023-08-01,591.900024,592.900024,574.200012,580.900024,579.493469,453870
2023-08-02,583.000000,587.900024,570.200012,577.250000,575.852295,395984
2023-08-03,577.049988,584.000000,567.150024,571.000000,569.617432,498004
2023-08-04,574.450012,580.000000,568.549988,573.950012,572.560303,208790
2023-08-07,576.049988,588.000000,572.950012,584.299988,582.885193,308919
2023-08-08,588.400024,615.000000,578.200012,601.500000,600.043579,667017
2023-08-09,599.000000,599.000000,582.099976,586.400024,584.980164,433271
2023-08-10,584.049988,585.950012,552.299988,556.450012,555.102661,1209701
2023-08-11,561.799988,563.000000,552.000000,557.650024,556.299805,202226
2023-08-14,555.400024,557.950012,545.299988,553.650024,552.309448,1043731
2023-08-16,549.799988,555.000000,543.000000,547.200012,545.875061,422303
2023-08-17,548.700012,558.000000,546.049988,548.900024,547.570984,234080
2023-08-18,550.849976,565.900024,546.549988,558.900024,557.546753,378906
2023-08-21,555.450012,564.799988,554.200012,557.799988,556.449402,217091
2023-08-22,560.700012,569.200012,557.950012,564.500000,563.133179,341327
2023-08-23,567.500000,574.650024,565.049988,571.000000,569.617432,365627
2023-08-24,574.900024,574.950012,570.000000,570.900024,569.517700,156820
2023-08-25,569.700012,571.599976,562.700012,567.400024,566.026184,197871
2023-08-28,570.750000,573.950012,567.650024,570.099976,568.719604,136904
2023-08-29,570.150024,577.049988,567.299988,572.900024,571.512878,209182
2023-08-30,579.200012,626.849976,571.950012,610.500000,609.021790,1704155
2023-08-31,604.000000,679.799988,593.549988,644.150024,642.590332,1565916
2023-09-01,639.900024,691.950012,630.400024,668.450012,666.831482,1231864
2023-09-04,653.000000,670.400024,643.599976,657.599976,656.007690,490529
2023-09-05,654.000000,654.000000,638.150024,642.250000,640.694885,320637
2023-09-06,643.950012,643.950012,632.549988,634.049988,632.514771,179867
2023-09-07,637.000000,639.450012,628.000000,632.400024,630.868774,150666
2023-09-08,637.000000,656.000000,631.450012,647.799988,646.231445,1157151
2023-09-11,655.000000,658.000000,641.000000,645.400024,643.837280,275081
2023-09-12,645.000000,649.049988,604.349976,607.450012,605.979187,419925
2023-09-13,610.500000,623.400024,598.049988,619.500000,618.000000,1065921
2023-09-14,622.500000,634.900024,621.549988,630.700012,630.700012,161214
2023-09-15,633.000000,633.700012,616.000000,619.900024,619.900024,137256
2023-09-18,619.900024,627.400024,610.349976,613.700012,613.700012,101582
