symbol,signal_date,entry_date,exit_date,entry,stop,target_cap,exit,exit_reason,ret_pct,drop_5d,rsi_t_minus_2,vol_ratio_t_minus_1,t2_close_in_range,turnover_20d_cr
BDL,2026-04-01,2026-04-02,2026-04-07,1174.0,1109.0,1267.92,1235.9,t+2_close,5.27,-12.26,29.4,2.05,0.16,258.9
BLUESTARCO,2026-03-25,2026-03-27,2026-03-30,1739.0,1651.32,1878.12,1651.32,stop,-5.04,-8.23,33.7,1.58,0.76,105.0
BLUESTARCO,2026-04-08,2026-04-09,2026-04-13,1619.4,1565.68,1748.95,1730.0,t+2_close,6.83,-8.04,32.5,1.83,0.7,138.9
CAMS,2026-03-09,2026-03-10,2026-03-12,663.3,619.49,716.36,663.75,t+2_close,0.07,-8.43,33.3,2.09,0.33,88.7
IRCON,2026-03-06,2026-03-09,2026-03-11,143.44,130.81,154.92,137.16,t+2_close,-4.38,-8.93,27.8,12.71,0.79,77.8
LTFOODS,2026-03-05,2026-03-06,2026-03-10,443.0,364.32,478.44,378.0,t+2_close,-14.67,-10.07,35.5,14.48,0.11,136.3
MRPL,2026-05-08,2026-05-11,2026-05-12,167.02,155.33,180.38,155.33,stop,-7.0,-7.28,32.0,5.92,0.1,192.7
OLECTRA,2026-01-28,2026-01-29,2026-02-02,1079.0,984.46,1165.32,1077.4,t+2_close,-0.15,-8.78,21.9,2.73,0.64,57.2
TMCV,2026-04-08,2026-04-09,2026-04-13,429.2,400.93,463.54,425.0,t+2_close,-0.98,-7.38,36.3,2.02,0.86,717.6
