SYMBOL,CLOSING_PRICE,TIMESTAMP,TOT_TRADED_QTY,TOT_TRADED_VAL
TATAMOTORS,732.25,2025-06-10,19151889,13951459993.95
HINDZINC,534.05,2025-06-10,11077729,5959807783.3
WIPRO,254.87,2025-06-10,10739851,2732474723.84
INDUSINDBK,845.05,2025-06-10,10162134,8620781364.9
BIOCON,341.2,2025-06-10,6067297,2086768456.85
ADANIGREEN,1060.5,2025-06-10,5441911,5755702576.1
TECHM,1610.9,2025-06-10,3324373,5367189706.1
AMBUJACEM,561.1,2025-06-10,3239799,1824607327.05
LTIM,5385.0,2025-06-10,428695,2306147432.0
