SYMBOL,CLOSING_PRICE,TIMESTAMP,TOT_TRADED_QTY,TOT_TRADED_VAL
ONGC,251.51,2025-06-13,39320377,9893446758.03
TECHM,1659.0,2025-06-13,2511076,4152873934.9
