SYMBOL,CLOSING_PRICE,TIMESTAMP,TOT_TRADED_QTY,TOT_TRADED_VAL
ADANIENT,2613.1,2025-06-10,2084054,5473455604.0
GRASIM,2708.0,2025-06-10,2885229,7810096198.4
HCLTECH,1668.1,2025-06-10,3055223,5107346354.5
INDUSINDBK,845.05,2025-06-10,10162134,8620781364.9
INFY,1596.0,2025-06-10,8591925,13704698707.8
LTIM,5385.0,2025-06-10,428695,2306147432.0
TATAMOTORS,732.25,2025-06-10,19151889,13951459993.95
TECHM,1610.9,2025-06-10,3324373,5367189706.1
WIPRO,254.87,2025-06-10,10739851,2732474723.84
