date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct
2025-05-02,KALYANKJIL,514.099976,518.900024,506.049988,507.250000,2385861,,1.000000,,507.250000,507.250000,507.250000,507.250000,-2.245139,-2.245139,,,37.354359,0.093386,,,,0,0,
2025-05-02,KFINTECH,1190.099976,1193.099976,1130.500000,1133.300049,1221651,,1.000000,,1133.300049,1133.300049,1133.300049,1133.300049,-5.012147,-5.012147,,,4.792334,0.044729,,,,0,0,
2025-05-02,KPIL,974.950012,986.599976,952.299988,965.200012,71483,,1.000000,,965.200012,965.200012,965.200012,965.200012,-2.169062,-2.169062,,,33.964920,0.376094,,,,0,0,
2025-05-02,LLOYDSENGG,54.500000,55.700001,53.240002,54.240002,4276100,,1.000000,,54.240002,54.240002,54.240002,54.240002,-2.621183,-2.621183,,,48.780537,0.406504,,,,0,0,
2025-05-02,LLOYDSME,1209.900024,1230.800049,1196.500000,1197.199951,265245,,1.000000,,1197.199951,1197.199951,1197.199951,1197.199951,-2.729940,-2.729940,,,60.932929,0.020407,,,,0,0,
2025-05-02,MANCREDIT,162.899994,162.899994,156.509995,156.509995,7572,,1.000000,,156.509995,156.509995,156.509995,156.509995,-3.922652,-3.922652,,,0.000000,0.000000,,,,0,0,
2025-05-02,MAZDOCK,3075.000000,3172.000000,2986.500000,3006.800049,6894612,,1.000000,,3006.800049,3006.800049,3006.800049,3006.800049,-5.208069,-5.208069,,,52.291105,0.109434,,,,0,0,
2025-05-02,MCX,1230.199951,1283.400024,1230.199951,1256.599976,3498000,,1.000000,,1256.599976,1256.599976,1256.599976,1256.599976,-2.088207,-2.088207,,,50.375962,0.496240,,,,0,0,
2025-05-02,NAM-INDIA,639.000000,642.000000,622.599976,630.250000,525923,,1.000000,,630.250000,630.250000,630.250000,630.250000,-1.830218,-1.830218,,,15.463898,0.394331,,,,0,0,
2025-05-02,NATIONALUM,157.009995,162.399994,156.699997,159.100006,11396163,,1.000000,,159.100006,159.100006,159.100006,159.100006,-2.032012,-2.032012,,,57.894554,0.421054,,,,0,0,
2025-05-02,NAVA,459.299988,470.000000,446.649994,456.100006,358634,,1.000000,,456.100006,456.100006,456.100006,456.100006,-2.957446,-2.957446,,,45.824451,0.404711,,,,0,0,
2025-05-02,NELCO,818.000000,829.400024,805.000000,806.000000,53696,,1.000000,,806.000000,806.000000,806.000000,806.000000,-2.821319,-2.821319,,,46.721365,0.040984,,,,0,0,
2025-05-02,NEULANDLAB,12107.000000,12151.000000,11741.000000,11908.000000,22988,,1.000000,,11908.000000,11908.000000,11908.000000,11908.000000,-1.999835,-1.999835,,,10.731707,0.407317,,,,0,0,
2025-05-02,NEWGEN,988.549988,1119.000000,967.250000,1030.050049,8755290,,1.000000,,1030.050049,1030.050049,1030.050049,1030.050049,-7.949057,-7.949057,,,58.616113,0.413839,,,,0,0,
2025-05-02,NTPCGREEN,101.000000,102.339996,100.300003,100.519997,5656792,,1.000000,,100.519997,100.519997,100.519997,100.519997,-1.778386,-1.778386,,,65.686311,0.107840,,,,0,0,
2025-05-02,OLAELEC,48.689999,49.320000,48.110001,48.279999,13728717,,1.000000,,48.279999,48.279999,48.279999,48.279999,-2.108680,-2.108680,,,52.066243,0.140494,,,,0,0,
2025-05-02,PARAS,686.450012,692.500000,650.500000,670.200012,6886950,,1.000000,,670.200012,670.200012,670.200012,670.200012,-3.220215,-3.220215,,,14.404733,0.469048,,,,0,0,
2025-05-02,PCBL,359.600006,363.600006,354.450012,360.200012,1131436,,1.000000,,360.200012,360.200012,360.200012,360.200012,-0.935092,-0.935092,,,37.158428,0.628416,,,,0,0,
2025-05-02,PERSISTENT,5332.000000,5487.000000,5332.000000,5406.500000,509581,,1.000000,,5406.500000,5406.500000,5406.500000,5406.500000,-1.467104,-1.467104,,,51.935484,0.480645,,,,0,0,
2025-05-02,PGEL,853.000000,859.400024,823.200012,827.000000,1310420,,1.000000,,827.000000,827.000000,827.000000,827.000000,-3.770075,-3.770075,,,17.679619,0.104972,,,,0,0,
2025-05-02,POLYMED,2574.000000,2576.399902,2449.100098,2496.199951,80166,,1.000000,,2496.199951,2496.199951,2496.199951,2496.199951,-3.112869,-3.112869,,,1.885236,0.369992,,,,0,0,
2025-05-02,POONAWALLA,375.250000,384.000000,374.450012,378.200012,975976,,1.000000,,378.200012,378.200012,378.200012,378.200012,-1.510413,-1.510413,,,60.732934,0.392671,,,,0,0,
2025-05-02,POWERGRID,305.500000,309.000000,302.299988,303.049988,5688285,,1.000000,,303.049988,303.049988,303.049988,303.049988,-1.925570,-1.925570,,,52.238711,0.111940,,,,0,0,
2025-05-02,POWERMECH,2619.100098,2661.100098,2573.000000,2595.100098,47408,,1.000000,,2595.100098,2595.100098,2595.100098,2595.100098,-2.480177,-2.480177,,,47.673046,0.250852,,,,0,0,
2025-05-02,PRINCEPIPE,252.500000,253.600006,244.500000,249.500000,82843,,1.000000,,249.500000,249.500000,249.500000,249.500000,-1.616722,-1.616722,,,12.087971,0.549450,,,,0,0,
2025-05-02,PRIVISCL,1971.000000,2054.000000,1954.400024,2036.099976,151490,,1.000000,,2036.099976,2036.099976,2036.099976,2036.099976,-0.871471,-0.871471,,,17.971916,0.820281,,,,0,0,
2025-05-02,RAILTEL,313.649994,336.399994,313.649994,315.899994,40183485,,1.000000,,315.899994,315.899994,315.899994,315.899994,-6.093936,-6.093936,,,90.109890,0.098901,,,,0,0,
2025-05-02,RAMCOSYS,373.700012,384.799988,373.700012,379.250000,29809,,1.000000,,379.250000,379.250000,379.250000,379.250000,-1.442305,-1.442305,,,50.000000,0.500000,,,,0,0,
2025-05-02,RPOWER,40.750000,41.549999,40.119999,40.230000,41005943,,1.000000,,40.230000,40.230000,40.230000,40.230000,-3.176895,-3.176895,,,55.943991,0.076923,,,,0,0,
2025-05-02,RTNINDIA,41.450001,42.410000,41.099998,41.500000,1258886,,1.000000,,41.500000,41.500000,41.500000,41.500000,-2.145720,-2.145720,,,69.465564,0.305344,,,,0,0,
2025-05-02,SAGILITY,41.000000,42.000000,41.000000,41.340000,3555703,,1.000000,,41.340000,41.340000,41.340000,41.340000,-1.571428,-1.571428,,,65.999985,0.340000,,,,0,0,
2025-05-02,SAILIFE,692.000000,718.000000,691.950012,715.750000,271258,,1.000000,,715.750000,715.750000,715.750000,715.750000,-0.313370,-0.313370,,,8.637240,0.913628,,,,0,0,
2025-05-02,SAPPHIRE,316.500000,326.750000,312.399994,320.450012,235340,,1.000000,,320.450012,320.450012,320.450012,320.450012,-1.928076,-1.928076,,,43.902335,0.560977,,,,0,0,
2025-05-02,SAREGAMA,524.049988,531.900024,517.099976,524.650024,146498,,1.000000,,524.650024,524.650024,524.650024,524.650024,-1.363038,-1.363038,,,48.986325,0.510137,,,,0,0,
2025-05-02,SBIN,790.349976,803.400024,789.000000,796.700012,14720184,,1.000000,,796.700012,796.700012,796.700012,796.700012,-0.833957,-0.833957,,,46.527784,0.534722,,,,0,0,
2025-05-02,SCHNEIDER,577.000000,589.000000,569.400024,575.849976,192330,,1.000000,,575.849976,575.849976,575.849976,575.849976,-2.232602,-2.232602,,,61.224566,0.329080,,,,0,0,
2025-05-02,SCI,176.699997,179.520004,174.600006,175.259995,2103211,,1.000000,,175.259995,175.259995,175.259995,175.259995,-2.373000,-2.373000,,,57.317243,0.134144,,,,0,0,
2025-05-02,SETL,139.800003,139.800003,136.270004,136.740005,250403,,1.000000,,136.740005,136.740005,136.740005,136.740005,-2.188839,-2.188839,,,0.000000,0.133145,,,,0,0,
2025-05-02,SIS,328.000000,332.200012,322.600006,325.600006,219374,,1.000000,,325.600006,325.600006,325.600006,325.600006,-1.986757,-1.986757,,,43.750099,0.312500,,,,0,0,
2025-05-02,SONATSOFTW,419.000000,464.200012,403.200012,431.799988,51149311,,1.000000,,431.799988,431.799988,431.799988,431.799988,-6.979755,-6.979755,,,53.114794,0.468852,,,,0,0,
2025-05-02,STLTECH,61.900002,62.380001,59.279999,60.400002,552021,,1.000000,,60.400002,60.400002,60.400002,60.400002,-3.174093,-3.174093,,,15.483845,0.361291,,,,0,0,
2025-05-02,SYRMA,465.549988,472.500000,453.799988,464.500000,648460,,1.000000,,464.500000,464.500000,464.500000,464.500000,-1.693122,-1.693122,,,37.165816,0.572193,,,,0,0,
2025-05-02,TANLA,472.049988,512.950012,467.799988,498.549988,3283545,,1.000000,,498.549988,498.549988,498.549988,498.549988,-2.807296,-2.807296,,,31.893725,0.681063,,,,0,0,
2025-05-02,TATACOMM,1599.000000,1599.000000,1553.800049,1556.800049,321740,,1.000000,,1556.800049,1556.800049,1556.800049,1556.800049,-2.639146,-2.639146,,,0.000000,0.066372,,,,0,0,
2025-05-02,TBOTEK,1112.000000,1124.300049,1067.500000,1075.800049,115285,,1.000000,,1075.800049,1075.800049,1075.800049,1075.800049,-4.313795,-4.313795,,,21.654997,0.146127,,,,0,0,
2025-05-02,TCS,3472.000000,3491.500000,3420.000000,3431.000000,1721761,,1.000000,,3431.000000,3431.000000,3431.000000,3431.000000,-1.732780,-1.732780,,,27.272727,0.153846,,,,0,0,
2025-05-02,TECHM,1505.000000,1519.000000,1489.800049,1494.099976,1582577,,1.000000,,1494.099976,1494.099976,1494.099976,1494.099976,-1.639238,-1.639238,,,47.945286,0.147258,,,,0,0,
2025-05-02,TECHNOE,1063.000000,1075.800049,1043.699951,1065.000000,92615,,1.000000,,1065.000000,1065.000000,1065.000000,1065.000000,-1.003909,-1.003909,,,33.644910,0.663551,,,,0,0,
2025-05-02,TEJASNET,708.000000,723.150024,692.900024,703.200012,2064293,,1.000000,,703.200012,703.200012,703.200012,703.200012,-2.758765,-2.758765,,,50.082725,0.340495,,,,0,0,
2025-05-02,TRENT,5172.500000,5268.500000,5129.500000,5154.000000,756554,,1.000000,,5154.000000,5154.000000,5154.000000,5154.000000,-2.173294,-2.173294,,,69.064748,0.176259,,,,0,0,
2025-05-02,TVSSCS,115.000000,117.269997,113.690002,115.000000,423082,,1.000000,,115.000000,115.000000,115.000000,115.000000,-1.935701,-1.935701,,,63.407830,0.365922,,,,0,0,
