SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,snapshot_dt
TITAN,EQ,3261.6,3264,3239,3248.6,3245,3261.35,1397407,4539885099,15-Sep-23,77309,15/09/23
TITAN,EQ,3257,3352,3246.8,3339.5,3335,3248.6,1423507,4726354122,18-Sep-23,90061,18/09/23
TITAN,EQ,3314,3349,3300.05,3306.65,3310.05,3339.5,1201025,3992444889,20-Sep-23,68988,20/09/23
TITAN,EQ,3300,3322.5,3285.8,3304.5,3309.95,3306.65,1091384,3600350382,21-Sep-23,83767,21/09/23
TITAN,EQ,3298.8,3298.8,3261.7,3274.5,3284.85,3304.5,1019051,3333961547,22-Sep-23,68160,22/09/23
TITAN,EQ,3274.5,3314.9,3261.35,3283.95,3275.05,3274.5,623515,2052972036,25-Sep-23,53261,25/09/23
TITAN,EQ,3294,3308,3255,3262.6,3259,3283.95,1054827,3454416561,26-Sep-23,60452,26/09/23
TITAN,EQ,3246.8,3266.95,3186,3214.55,3217.5,3262.6,1464192,4717796793,27-Sep-23,87732,27/09/23
TITAN,EQ,3217.5,3224.9,3141.75,3157.25,3174.75,3214.55,1214383,3853946155,28-Sep-23,102705,28/09/23
TITAN,EQ,3160.05,3176.45,3143.05,3148.8,3148.8,3157.25,697564,2201886709,29-Sep-23,65106,29/09/23
TITAN,EQ,3148.8,3212.5,3114.4,3196.25,3191,3148.8,1007308,3204172348,03-Oct-23,83887,03/10/23
TITAN,EQ,3186,3205,3151,3166.65,3168,3196.25,486969,1543210374,04-Oct-23,62789,04/10/23
TITAN,EQ,3173.9,3231,3165,3216.5,3218.65,3166.65,1109881,3568071705,05-Oct-23,102627,05/10/23
TITAN,EQ,3230,3319.8,3221.1,3309.75,3305.2,3216.5,1102120,3615200555,06-Oct-23,101454,06/10/23
TITAN,EQ,3294.7,3296,3249.05,3267.5,3265,3309.75,822467,2690864915,09-Oct-23,80152,09/10/23
TITAN,EQ,3295,3299.2,3259.3,3269.2,3265.95,3267.5,633934,2077339135,10-Oct-23,72103,10/10/23
TITAN,EQ,3289.7,3296,3264,3280.5,3282,3269.2,546575,1792878349,11-Oct-23,57766,11/10/23
TITAN,EQ,3292,3295.05,3262.6,3285,3288,3280.5,429096,1406636776,12-Oct-23,49752,12/10/23
TITAN,EQ,3285,3307,3266.55,3283.75,3284,3285,920545,3024283675,13-Oct-23,81259,13/10/23
TITAN,EQ,3284,3329,3275,3301.4,3303.5,3283.75,778014,2574802086,16-Oct-23,64806,16/10/23
TITAN,EQ,3317.95,3328.45,3304.1,3308.45,3312,3301.4,584625,1936482356,17-Oct-23,58713,17/10/23
TITAN,EQ,3309.2,3324.15,3277.5,3282.75,3283.5,3308.45,324535,1069637018,18-Oct-23,40720,18/10/23
TITAN,EQ,3270,3300.95,3239,3284.65,3285,3282.75,698767,2287298639,19-Oct-23,95620,19/10/23
TITAN,EQ,3272.65,3291.5,3244,3266.2,3260,3284.65,657550,2146605005,20-Oct-23,72746,20/10/23
TITAN,EQ,3246.2,3274.95,3209.7,3219.75,3219.95,3266.2,566920,1837451847,23-Oct-23,43684,23/10/23
TITAN,EQ,3216,3236.3,3179,3187.85,3190,3219.75,762466,2446150987,25-Oct-23,81178,25/10/23
TITAN,EQ,3160.35,3189.9,3092.05,3100.8,3106,3187.85,1124281,3515747277,26-Oct-23,110937,26/10/23
TITAN,EQ,3095.1,3138.75,3087.25,3120.7,3120,3100.8,1050608,3276066490,27-Oct-23,82521,27/10/23
TITAN,EQ,3105,3121.95,3075,3116.45,3120,3120.7,802316,2487027860,30-Oct-23,67822,30/10/23
TITAN,EQ,3119.6,3205.8,3087.85,3189.65,3194,3116.45,1235478,3891862250,31-Oct-23,86359,31/10/23
TITAN,EQ,3193.85,3212.9,3168.35,3173.4,3171.15,3189.65,756820,2412878355,01-Nov-23,71026,01/11/23
TITAN,EQ,3200,3228.5,3180,3201.5,3208.95,3173.4,774180,2477399164,02-Nov-23,73593,02/11/23
TITAN,EQ,3205.15,3288,3205.05,3274.5,3277,3201.5,1355614,4417419166,03-Nov-23,100540,03/11/23
TITAN,EQ,3310,3310,3245.3,3267.05,3269.8,3274.5,1137606,3719514894,06-Nov-23,92757,06/11/23
TITAN,EQ,3274,3286.45,3250.2,3270.2,3270.85,3267.05,433992,1420666704,07-Nov-23,47303,07/11/23
TITAN,EQ,3289,3323.8,3272.2,3311.85,3311.8,3270.2,632305,2090020925,08-Nov-23,60075,08/11/23
TITAN,EQ,3320.95,3320.95,3274.65,3283.75,3285,3311.85,1317398,4336097352,09-Nov-23,74676,09/11/23
TITAN,EQ,3263.05,3274.95,3223,3256.35,3260.15,3283.75,1170763,3793610796,10-Nov-23,60136,10/11/23
TITAN,EQ,3275,3278.35,3250.6,3264.75,3265.9,3280.6,275538,899087265.3,13-Nov-23,35857,13/11/23
TITAN,EQ,3275.25,3300.9,3260.75,3295.95,3295.4,3264.75,747863,2455641717,15-Nov-23,58772,15/11/23
TITAN,EQ,3295.4,3358,3259.25,3335.95,3335.35,3295.95,1055389,3503155748,16-Nov-23,79457,16/11/23
TITAN,EQ,3339,3366,3326.7,3338.85,3337.5,3335.95,633405,2119618757,17-Nov-23,56251,17/11/23
TITAN,EQ,3338,3353.95,3312.25,3345.85,3351,3338.85,497379,1658415988,20-Nov-23,48627,20/11/23
TITAN,EQ,3365,3401.75,3355.1,3394.45,3388.3,3345.85,1038863,3518708165,21-Nov-23,80091,21/11/23
TITAN,EQ,3400,3435,3396.05,3429.85,3429.95,3394.45,980779,3356303537,22-Nov-23,74743,22/11/23
TITAN,EQ,3433.9,3441.95,3396.3,3408.4,3410,3429.85,517362,1769846176,23-Nov-23,52399,23/11/23
