date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-04-09,ACC,1409.800049,1409.800049,1380.000000,1391.900024,192918,-1.353648,0.763598,,1401.450012,1401.450012,1401.450012,1401.450012,-4.073051,-4.073051,-0.085043,,0.000000,0.399329,,,,0,0,,,,-78.799967,21.200033,33.933350,-133.333333,1428.461457,1374.438568,0.323223,3.854785,,,-1.523645,-0.304729,-1.218916,,1407.180005,1409.263639,-192918.000000,1405.501584,-0.118086,-0.707107,,-1.000000,1451.000000,1376.000000,0.212000,2.140962,60.067098
2026-04-10,ACC,1398.699951,1430.000000,1395.599976,1424.599976,186253,2.349303,0.807992,,1409.166667,1409.166667,1409.166667,1409.166667,-1.819437,-1.819437,0.488536,,15.697734,0.843023,,,,0,0,,,,-35.200033,64.799967,44.222222,97.729296,1442.020436,1376.312898,0.734879,4.662865,41.565525,,-0.091477,-0.262079,0.170602,,1410.663999,1410.657851,-6665.000000,1408.526635,0.098492,-0.623672,,-1.000000,1451.000000,1376.000000,0.648000,2.414715,75.290715
2026-04-13,ACC,1408.199951,1414.000000,1367.099976,1410.500000,330446,-0.989750,1.293348,,1409.500000,1409.500000,1409.500000,1409.500000,-2.791178,-2.791178,-1.151202,,7.462683,0.925373,,,,0,0,,,,-48.271738,51.728262,45.909421,-80.431488,1436.358106,1382.641894,0.518616,3.811012,32.399520,,-0.093150,-0.228293,0.135143,,1410.631199,1410.643501,-337111.000000,1404.864311,0.341724,0.979568,,-1.000000,1451.000000,1367.099976,0.517283,3.325064,4.904153
2026-04-15,ACC,1429.000000,1446.699951,1422.400024,1431.199951,267004,1.467561,1.035710,,1413.839990,1413.839990,1413.839990,1413.839990,-1.364580,-1.364580,1.311592,,63.786200,0.362138,,,,0,0,,,,-23.599575,76.400425,64.309552,154.305637,1444.134028,1383.545953,0.786524,4.285356,28.898804,,1.557879,0.128941,1.428937,,1414.744950,1412.512269,-70107.000000,1410.782151,0.213824,0.138516,,-1.000000,1451.000000,1367.099976,0.764004,1.697871,9.053324
2026-04-16,ACC,1434.900024,1447.099976,1425.199951,1442.800049,196798,0.810516,0.794722,,1420.200000,1418.666667,1418.666667,1418.666667,-0.565124,-0.565124,0.258529,,19.634347,0.803657,2.253724,,,0,0,0.543350,,,-9.773479,90.226521,72.785070,127.853947,1454.629235,1382.704099,0.835535,5.069911,25.223177,,3.759030,0.854959,2.904071,,1420.355969,1415.265704,126691.000000,1414.435819,0.265943,-0.788718,,-1.000000,1451.000000,1367.099976,0.902265,1.517884,36.073131
2026-04-17,ACC,1446.000000,1449.900024,1428.199951,1432.199951,497877,-0.734689,1.756919,,1428.259985,1420.599993,1420.599993,1420.599993,-1.295662,-1.295662,0.221788,,17.972402,0.184331,2.895318,,,0,0,1.366441,,,-22.407680,77.592320,81.406422,94.791012,1454.986215,1386.213771,0.668672,4.841084,23.845161,,4.595149,1.602997,2.992152,,1422.724766,1416.805181,-371186.000000,1420.040598,0.040736,1.925636,,-1.000000,1451.000000,1367.099976,0.775923,1.515157,63.594480
2026-04-20,ACC,1435.000000,1444.800049,1413.000000,1428.800049,222508,-0.237390,0.806856,,1429.100000,1421.625000,1421.625000,1421.625000,-1.529976,-1.529976,0.195507,,30.817716,0.496856,0.294825,,,0,0,0.884092,,,-26.460006,73.539994,80.452945,48.981048,1453.984182,1389.265818,0.610866,4.552422,21.969728,,4.926645,2.267727,2.658918,,1423.939822,1417.895623,-593694.000000,1420.930772,0.035993,-0.505593,,-1.000000,1451.000000,1367.099976,0.735400,2.225647,19.496672
2026-04-21,ACC,1429.000000,1444.800049,1425.000000,1438.000000,116234,0.643894,0.450440,,1434.600000,1423.444444,1423.444444,1423.444444,-0.895934,-0.895934,0.013994,,34.343596,0.656564,1.949663,,,0,0,0.989319,,,-15.494632,84.505368,78.545894,75.916292,1455.622088,1391.266801,0.726175,4.521096,20.500731,,5.864118,2.987005,2.877113,,1426.751858,1419.723294,-477460.000000,1421.681635,0.049864,-1.266420,,-1.000000,1451.000000,1367.099976,0.845054,1.376916,45.454433
2026-04-22,ACC,1437.000000,1455.000000,1424.400024,1446.400024,212480,0.584146,0.838223,,1437.640015,1425.740002,1425.740002,1425.740002,-0.591064,-0.591064,-0.069541,,28.104518,0.718955,1.062051,,,0,0,0.841680,,,-9.783815,90.216185,82.753849,92.620354,1459.372422,1392.107583,0.807144,4.717890,19.260725,,7.201866,3.829977,3.371889,,1430.681491,1422.148451,-264980.000000,1423.379180,0.082391,-0.384868,1296.170252,1.000000,1455.000000,1367.099976,0.902162,2.115596,30.719059
2026-04-23,ACC,1439.000000,1439.699951,1420.000000,1423.099976,128954,-1.610899,0.532499,,1433.700000,1425.500000,1425.500000,1425.500000,-2.192442,-2.192442,-0.511617,,3.553060,0.157360,-1.365406,,,0,0,0.481673,0.857546,,-36.291258,63.708742,79.476765,19.740737,1457.446207,1393.553793,0.462436,4.482105,20.495608,,6.309193,4.325820,1.983373,,1429.165188,1422.234953,-393934.000000,1423.583504,0.045228,-1.049892,1296.170252,1.000000,1455.000000,1367.099976,0.637087,1.384298,80.710984
