rsi_min,rsi_max,vol_min,dist_min,dist_max,adx_min,slope_min,cmf_min,range_pct_max,atr_pct_max,body_pct_min,trades,win_rate,avg_pct,targets,stops,times
58,70,1.0,-5,0.0,15,0.0,0.0,3.5,3.0,0.5,8,75.0,1.5201530921639708,1,0,7
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,,,10,80.0,2.1191445934761117,1,0,9
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,,0.3,10,80.0,2.1191445934761117,1,0,9
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,,0.5,10,80.0,2.1191445934761117,1,0,9
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,4.0,,9,77.77777777777779,1.495346140899384,1,0,8
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,4.0,0.3,9,77.77777777777779,1.495346140899384,1,0,8
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,4.0,0.5,9,77.77777777777779,1.495346140899384,1,0,8
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,3.5,,9,77.77777777777779,1.495346140899384,1,0,8
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,3.5,0.3,9,77.77777777777779,1.495346140899384,1,0,8
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,3.5,0.5,9,77.77777777777779,1.495346140899384,1,0,8
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,3.0,,8,75.0,1.5201530921639708,1,0,7
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,3.0,0.3,8,75.0,1.5201530921639708,1,0,7
58,70,1.0,-5,0.0,15,0.0,0.0,3.0,3.0,0.5,8,75.0,1.5201530921639708,1,0,7
58,70,1.0,-5,0.0,15,0.0,0.05,,,,23,65.21739130434783,0.9204544300173932,1,4,18
58,70,1.0,-5,0.0,15,0.0,0.05,,,0.3,23,65.21739130434783,0.9204544300173932,1,4,18
58,70,1.0,-5,0.0,15,0.0,0.05,,,0.5,23,65.21739130434783,0.9204544300173932,1,4,18
58,70,1.0,-5,0.0,15,0.0,0.05,,4.0,,15,73.33333333333333,1.3663437723570628,0,1,14
58,70,1.0,-5,0.0,15,0.0,0.05,,4.0,0.3,15,73.33333333333333,1.3663437723570628,0,1,14
58,70,1.0,-5,0.0,15,0.0,0.05,,4.0,0.5,15,73.33333333333333,1.3663437723570628,0,1,14
58,70,1.0,-5,0.0,15,0.0,0.05,,3.5,,11,81.81818181818183,1.6936524844649063,0,0,11
58,70,1.0,-5,0.0,15,0.0,0.05,,3.5,0.3,11,81.81818181818183,1.6936524844649063,0,0,11
58,70,1.0,-5,0.0,15,0.0,0.05,,3.5,0.5,11,81.81818181818183,1.6936524844649063,0,0,11
58,70,1.0,-5,0.0,15,0.0,0.05,,3.0,,7,85.71428571428571,1.2728763338369797,0,0,7
58,70,1.0,-5,0.0,15,0.0,0.05,,3.0,0.3,7,85.71428571428571,1.2728763338369797,0,0,7
58,70,1.0,-5,0.0,15,0.0,0.05,,3.0,0.5,7,85.71428571428571,1.2728763338369797,0,0,7
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,,,12,75.0,0.8576502236744025,0,1,11
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,,0.3,12,75.0,0.8576502236744025,0,1,11
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,,0.5,12,75.0,0.8576502236744025,0,1,11
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,4.0,,10,80.0,1.5809975021380889,0,0,10
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,4.0,0.3,10,80.0,1.5809975021380889,0,0,10
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,4.0,0.5,10,80.0,1.5809975021380889,0,0,10
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,3.5,,9,77.77777777777779,1.011157838155521,0,0,9
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,3.5,0.3,9,77.77777777777779,1.011157838155521,0,0,9
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,3.5,0.5,9,77.77777777777779,1.011157838155521,0,0,9
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,3.0,,6,83.33333333333334,1.366967389476477,0,0,6
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,3.0,0.3,6,83.33333333333334,1.366967389476477,0,0,6
58,70,1.0,-5,0.0,15,0.0,0.05,5.0,3.0,0.5,6,83.33333333333334,1.366967389476477,0,0,6
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,,,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,,0.3,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,,0.5,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,4.0,,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,4.0,0.3,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,4.0,0.5,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,3.5,,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,3.5,0.3,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,3.5,0.5,8,75.0,1.102003814593026,0,0,8
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,3.0,,5,80.0,1.4747979500020354,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,3.0,0.3,5,80.0,1.4747979500020354,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,4.0,3.0,0.5,5,80.0,1.4747979500020354,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,,,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,,0.3,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,,0.5,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,4.0,,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,4.0,0.3,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,4.0,0.5,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,3.5,,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,3.5,0.3,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,3.5,0.5,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,3.0,,4,75.0,-0.31969422248141716,0,0,4
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,3.0,0.3,4,75.0,-0.31969422248141716,0,0,4
58,70,1.0,-5,0.0,15,0.0,0.05,3.5,3.0,0.5,4,75.0,-0.31969422248141716,0,0,4
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,,,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,,0.3,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,,0.5,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,4.0,,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,4.0,0.3,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,4.0,0.5,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,3.5,,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,3.5,0.3,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,3.5,0.5,5,80.0,0.0036227281714041213,0,0,5
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,3.0,,4,75.0,-0.31969422248141716,0,0,4
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,3.0,0.3,4,75.0,-0.31969422248141716,0,0,4
58,70,1.0,-5,0.0,15,0.0,0.05,3.0,3.0,0.5,4,75.0,-0.31969422248141716,0,0,4
