entry_date,symbol,pattern,entry_price,stop_price,target_price,shares,invested_rs,exit_date,exit_price,exit_reason,pnl_rs,pnl_pct,sessions_held,signal_date
2026-05-13,ADANIPORTS,RM-4,1688.2,1586.91,1890.78,59,99603.8,2026-05-27,1824.5,TIME_EXIT,8041.7,8.07,10,2026-05-12
2026-05-13,ADANIPOWER,RM-4,209.0,196.46,234.08,478,99902.0,2026-05-25,234.08,TARGET_HIT,11988.24,12.0,8,2026-05-12
2026-05-29,ARTEMISMED,RM-4,280.06,263.26,313.67,357,99981.42,2026-06-02,263.26,STOP_OUT,-5997.6,-6.0,2,2026-05-27
2026-06-24,AVG,RM-4,179.4,168.64,200.93,557,99925.8,2026-06-25,200.93,TARGET_HIT,11992.21,12.0,1,2026-06-23
2026-05-13,CUPID,RM-4,120.49,113.26,134.95,829,99886.21,2026-05-19,113.26,STOP_OUT,-5993.67,-6.0,4,2026-05-12
2026-06-16,DATAPATTNS,RM-4,4444.0,4177.36,4977.28,22,97768.0,2026-06-30,4501.8,TIME_EXIT,1271.6,1.3,10,2026-06-15
2026-05-25,DECNGOLD,RM-4,144.0,135.36,161.28,694,99936.0,2026-05-26,161.28,TARGET_HIT,11992.32,12.0,1,2026-05-22
2026-06-15,DECNGOLD,RM-4,168.0,157.92,188.16,595,99960.0,2026-06-16,188.16,TARGET_HIT,11995.2,12.0,1,2026-06-12
2026-05-08,EBGNG,RM-4,447.25,420.42,500.92,223,99736.75,2026-05-11,420.42,STOP_OUT,-5983.09,-6.0,1,2026-05-07
2026-05-22,EBGNG,RM-4,460.7,433.06,515.98,217,99971.9,2026-06-01,433.06,STOP_OUT,-5997.88,-6.0,6,2026-05-21
2026-06-12,FERMENTA,RM-4,335.0,314.9,375.2,298,99830.0,2026-06-25,375.2,TARGET_HIT,11979.6,12.0,9,2026-06-11
2026-06-02,GOCOLORS,RM-4,323.45,304.04,362.26,309,99946.05,2026-06-03,362.26,TARGET_HIT,11992.29,12.0,1,2026-06-01
2026-05-12,GOLDIAM,RM-4,414.9,390.01,464.69,241,99990.9,2026-05-13,390.01,STOP_OUT,-5998.49,-6.0,1,2026-05-11
2026-05-12,HCC,RM-4,22.4,21.06,25.09,4464,99993.6,2026-05-15,21.06,STOP_OUT,-5981.76,-5.98,3,2026-05-11
2026-07-01,INDOFARM,RM-4,148.0,139.12,165.76,675,99900.0,2026-07-03,165.76,TARGET_HIT,11988.0,12.0,2,2026-06-30
2026-05-13,JAYNECOIND,RM-4,102.85,96.68,115.19,972,99970.2,2026-05-27,104.51,TIME_EXIT,1613.52,1.61,10,2026-05-12
2026-05-14,KOTHARIPET,RM-4,144.49,135.82,161.83,692,99987.08,2026-05-18,135.82,STOP_OUT,-5999.64,-6.0,2,2026-05-13
2026-07-09,LLOYDSENGG,RM-4,82.38,77.44,92.27,1213,99926.94,2026-07-09,84.05,TIME_EXIT,2025.72,2.03,0,2026-07-07
2026-07-09,LTF,RM-4,314.75,295.86,352.52,317,99775.75,2026-07-09,320.6,TIME_EXIT,1854.45,1.86,0,2026-07-08
2026-05-13,MOSCHIP,RM-4,211.8,199.09,237.22,472,99969.6,2026-05-18,199.09,STOP_OUT,-5999.12,-6.0,3,2026-05-12
2026-05-13,NETWEB,RM-4,4018.0,3776.92,4500.16,24,96432.0,2026-05-15,3776.92,STOP_OUT,-5785.92,-6.0,2,2026-05-12
2026-06-15,NETWEB,RM-4,4700.0,4418.0,5264.0,21,98700.0,2026-06-29,4418.0,STOP_OUT,-5922.0,-6.0,10,2026-06-12
2026-05-08,NITCO,RM-4,102.6,96.44,114.91,974,99932.4,2026-05-14,96.44,STOP_OUT,-5999.84,-6.0,4,2026-05-07
2026-06-01,PANAMAPET,RM-4,336.0,315.84,376.32,297,99792.0,2026-06-02,315.84,STOP_OUT,-5987.52,-6.0,1,2026-05-29
2026-05-08,PATELRMART,RM-4,209.5,196.93,234.64,477,99931.5,2026-05-13,196.93,STOP_OUT,-5995.89,-6.0,3,2026-05-07
2026-07-09,RAYMONDREL,RM-4,676.0,635.44,757.12,147,99372.0,2026-07-09,697.7,TIME_EXIT,3189.9,3.21,0,2026-07-08
2026-05-12,RSYSTEMS,RM-4,308.4,289.9,345.41,324,99921.6,2026-05-13,289.9,STOP_OUT,-5994.0,-6.0,1,2026-05-11
2026-06-17,SANSERA,RM-4,2861.5,2689.81,3204.88,34,97291.0,2026-06-25,3204.88,TARGET_HIT,11674.92,12.0,6,2026-06-16
2026-05-13,SCHNEIDER,RM-4,1217.0,1143.98,1363.04,82,99794.0,2026-05-22,1363.04,TARGET_HIT,11975.28,12.0,7,2026-05-12
2026-07-01,SCHNEIDER,RM-4,1385.7,1302.56,1551.98,72,99770.4,2026-07-09,1501.5,TIME_EXIT,8337.6,8.36,6,2026-06-30
2026-07-07,SHIVAUM,RM-4,400.0,376.0,448.0,250,100000.0,2026-07-09,435.0,TIME_EXIT,8750.0,8.75,2,2026-07-06
2026-05-14,SPECTRUM,RM-4,1400.3,1316.28,1568.34,71,99421.3,2026-05-28,1451.0,TIME_EXIT,3599.7,3.62,10,2026-05-13
2026-06-02,SPECTRUM,RM-4,1428.4,1342.7,1599.81,70,99988.0,2026-06-03,1599.81,TARGET_HIT,11998.7,12.0,1,2026-06-01
2026-06-18,SPECTRUM,RM-4,1669.2,1569.05,1869.5,59,98482.8,2026-06-30,1869.5,TARGET_HIT,11817.7,12.0,8,2026-06-17
2026-06-10,SUVEN,RM-4,264.75,248.86,296.52,377,99810.75,2026-06-24,254.7,TIME_EXIT,-3788.85,-3.8,10,2026-06-09
