rsi_min,rsi_max,vol_min,dist_min,dist_max,adx_min,slope_min,st_dir_up,cmf_min,body_pct_min,close_gt_ma5,stoch_k_min,stoch_k_max,trades,win_rate,avg_pct,targets,stops,times
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.3,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.3,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.3,True,,,29,58.620689655172406,0.5225465440196012,1,6,22
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.3,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.3,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.5,False,,,29,58.620689655172406,0.5225465440196012,1,6,22
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.5,False,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.5,False,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.5,True,,,29,58.620689655172406,0.5225465440196012,1,6,22
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.5,True,30.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.05,0.5,True,40.0,80.0,11,54.54545454545454,1.8328894319634927,1,1,9
58,70,0.8,-5,0.0,15,0.0,False,0.1,,False,,,24,58.333333333333336,0.4882933725045469,1,6,17
58,70,0.8,-5,0.0,15,0.0,False,0.1,,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,,True,,,24,58.333333333333336,0.4882933725045469,1,6,17
58,70,0.8,-5,0.0,15,0.0,False,0.1,,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.3,False,,,24,58.333333333333336,0.4882933725045469,1,6,17
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.3,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.3,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.3,True,,,24,58.333333333333336,0.4882933725045469,1,6,17
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.3,True,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.3,True,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.5,False,,,24,58.333333333333336,0.4882933725045469,1,6,17
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.5,False,30.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
58,70,0.8,-5,0.0,15,0.0,False,0.1,0.5,False,40.0,80.0,9,55.55555555555556,1.9297973537411974,1,1,7
