entry_date,symbol,pattern,entry_price,stop_price,target_price,shares,invested_rs,exit_date,exit_price,exit_reason,pnl_rs,pnl_pct,sessions_held,signal_date
2026-07-09,RAYMOND,RM-12,595.8,560.05,667.3,167,99498.6,2026-07-09,623.1,TIME_EXIT,4559.1,4.58,0,2026-07-08
2026-07-08,RAYMONDREL,RM-12,667.4,627.36,747.49,149,99442.6,2026-07-09,697.7,TIME_EXIT,4514.7,4.54,1,2026-07-07
2026-07-09,RITES,RM-12,223.0,209.62,249.76,448,99904.0,2026-07-09,222.67,TIME_EXIT,-147.84,-0.15,0,2026-07-08
2026-07-06,RKSWAMY,RM-12,106.22,99.85,118.97,941,99953.02,2026-07-09,102.51,TIME_EXIT,-3491.11,-3.49,3,2026-07-03
2026-07-03,SAKSOFT,RM-12,183.84,172.81,205.9,543,99825.12,2026-07-06,172.81,STOP_OUT,-5989.29,-6.0,1,2026-07-02
2026-07-07,SHIVAUM,RM-12,400.0,376.0,448.0,250,100000.0,2026-07-09,435.0,TIME_EXIT,8750.0,8.75,2,2026-07-06
2026-07-09,SPECTRUM,RM-12,1889.8,1776.41,2116.58,52,98269.6,2026-07-09,1909.0,TIME_EXIT,998.4,1.02,0,2026-07-07
2026-07-07,STLTECH,RM-12,574.0,539.56,642.88,174,99876.0,2026-07-08,539.56,STOP_OUT,-5992.56,-6.0,1,2026-07-06
2026-07-06,SUZLON,RM-12,56.87,53.46,63.69,1758,99977.46,2026-07-08,53.46,STOP_OUT,-5994.78,-6.0,2,2026-07-03
2026-07-06,SYRMA,RM-12,1379.0,1296.26,1544.48,72,99288.0,2026-07-09,1407.8,TIME_EXIT,2073.6,2.09,3,2026-07-03
2026-07-09,TANLA,RM-12,526.0,494.44,589.12,190,99940.0,2026-07-09,530.3,TIME_EXIT,817.0,0.82,0,2026-07-08
2026-07-06,TARIL,RM-12,336.7,316.5,377.1,297,99999.9,2026-07-09,330.55,TIME_EXIT,-1826.56,-1.83,3,2026-07-03
2026-07-03,TATACOMM,RM-12,1938.0,1821.72,2170.56,51,98838.0,2026-07-09,1883.7,TIME_EXIT,-2769.3,-2.8,4,2026-07-02
2026-07-09,TATATECH,RM-12,703.0,660.82,787.36,142,99826.0,2026-07-09,714.0,TIME_EXIT,1562.0,1.56,0,2026-07-07
2026-07-09,TBZ,RM-12,203.82,191.59,228.28,490,99871.8,2026-07-09,228.55,TIME_EXIT,12117.7,12.13,0,2026-07-08
2026-07-09,TEXRAIL,RM-12,111.5,104.81,124.88,896,99904.0,2026-07-09,113.95,TIME_EXIT,2195.2,2.2,0,2026-07-08
2026-07-03,TMB,RM-12,754.9,709.61,845.49,132,99646.8,2026-07-09,767.2,TIME_EXIT,1623.6,1.63,4,2026-07-02
2026-07-06,UNIPARTS,RM-12,655.0,615.7,733.6,152,99560.0,2026-07-09,684.2,TIME_EXIT,4438.4,4.46,3,2026-07-03
2026-07-06,WABAG,RM-12,2088.8,1963.47,2339.46,47,98173.6,2026-07-09,2113.8,TIME_EXIT,1175.0,1.2,3,2026-07-03
2026-07-06,WELCORP,RM-12,1425.0,1339.5,1596.0,70,99750.0,2026-07-09,1596.0,TARGET_HIT,11970.0,12.0,3,2026-07-03
2026-07-07,ZENTEC,RM-12,1874.7,1762.22,2099.66,53,99359.1,2026-07-09,1802.5,TIME_EXIT,-3826.6,-3.85,2,2026-07-06
