ret_20d_min,rsi_min,rsi_max,vol_min,dip_min,dip_max,adx_min,st_dir_up,cmf_min,body_pct_min,stoch_k_max,ut_gate,trades,win_rate,avg_pct,targets,stops,times
10,45,60,0.7,-10,-5,18,False,0.0,0.5,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.0,0.5,70.0,False,31,64.51612903225806,3.7380240222955745,13,9,9
10,45,60,0.7,-10,-5,18,False,0.0,0.5,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,,,False,26,53.84615384615385,2.2209326205093753,9,11,6
10,45,60,0.7,-10,-5,18,False,0.05,,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,,60.0,False,17,58.82352941176471,3.22592223474986,7,6,4
10,45,60,0.7,-10,-5,18,False,0.05,,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,,70.0,False,22,59.09090909090909,3.0630662326475333,9,8,5
10,45,60,0.7,-10,-5,18,False,0.05,,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,0.3,,False,26,53.84615384615385,2.2209326205093753,9,11,6
10,45,60,0.7,-10,-5,18,False,0.05,0.3,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,0.3,60.0,False,17,58.82352941176471,3.22592223474986,7,6,4
10,45,60,0.7,-10,-5,18,False,0.05,0.3,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,0.3,70.0,False,22,59.09090909090909,3.0630662326475333,9,8,5
10,45,60,0.7,-10,-5,18,False,0.05,0.3,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,0.5,,False,26,53.84615384615385,2.2209326205093753,9,11,6
10,45,60,0.7,-10,-5,18,False,0.05,0.5,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,0.5,60.0,False,17,58.82352941176471,3.22592223474986,7,6,4
10,45,60,0.7,-10,-5,18,False,0.05,0.5,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,False,0.05,0.5,70.0,False,22,59.09090909090909,3.0630662326475333,9,8,5
10,45,60,0.7,-10,-5,18,False,0.05,0.5,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,,,False,45,60.0,3.3721371611032724,18,15,12
10,45,60,0.7,-10,-5,18,True,,,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,,60.0,False,31,61.29032258064516,3.651891769456006,13,10,8
10,45,60,0.7,-10,-5,18,True,,,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,,70.0,False,41,63.41463414634146,3.936326371576811,18,12,11
10,45,60,0.7,-10,-5,18,True,,,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,0.3,,False,45,60.0,3.3721371611032724,18,15,12
10,45,60,0.7,-10,-5,18,True,,0.3,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,0.3,60.0,False,31,61.29032258064516,3.651891769456006,13,10,8
10,45,60,0.7,-10,-5,18,True,,0.3,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,0.3,70.0,False,41,63.41463414634146,3.936326371576811,18,12,11
10,45,60,0.7,-10,-5,18,True,,0.3,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,0.5,,False,45,60.0,3.3721371611032724,18,15,12
10,45,60,0.7,-10,-5,18,True,,0.5,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,0.5,60.0,False,31,61.29032258064516,3.651891769456006,13,10,8
10,45,60,0.7,-10,-5,18,True,,0.5,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,,0.5,70.0,False,41,63.41463414634146,3.936326371576811,18,12,11
10,45,60,0.7,-10,-5,18,True,,0.5,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,,,False,36,61.111111111111114,3.284320436282245,14,12,10
10,45,60,0.7,-10,-5,18,True,-0.05,,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,,60.0,False,25,60.0,3.3612535955438876,10,8,7
10,45,60,0.7,-10,-5,18,True,-0.05,,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,,70.0,False,32,65.625,3.9962107715988378,14,9,9
10,45,60,0.7,-10,-5,18,True,-0.05,,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,0.3,,False,36,61.111111111111114,3.284320436282245,14,12,10
10,45,60,0.7,-10,-5,18,True,-0.05,0.3,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,0.3,60.0,False,25,60.0,3.3612535955438876,10,8,7
10,45,60,0.7,-10,-5,18,True,-0.05,0.3,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,0.3,70.0,False,32,65.625,3.9962107715988378,14,9,9
10,45,60,0.7,-10,-5,18,True,-0.05,0.3,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,0.5,,False,36,61.111111111111114,3.284320436282245,14,12,10
10,45,60,0.7,-10,-5,18,True,-0.05,0.5,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,0.5,60.0,False,25,60.0,3.3612535955438876,10,8,7
10,45,60,0.7,-10,-5,18,True,-0.05,0.5,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,18,True,-0.05,0.5,70.0,False,32,65.625,3.9962107715988378,14,9,9
10,45,60,0.7,-10,-5,18,True,-0.05,0.5,70.0,True,1,0.0,-6.000000000000009,0,1,0
